101312-79-2	COC1C2CC3=CC(=C(C=C3C(C2CO1)C4=CC(=C(C=C4)O)OC)O)OC
1014974-98-1	COC1=CC(=CC(=C1O)OC)C(=O)OCC2(COC(C2O)OCC3C(C(C(C(O3)OC4=CC(=C(C(=C4)OC)OC)OC)O)O)O)O
10152-76-8	CSCC=C
1015698-14-2	CCOC1C(OC2=CC(=C(C=C12)C(=O)C)O)C(=C)C
10161-34-9	CC(=O)OC1CCC2C1(C=CC3=C4CCC(=O)C=C4CCC23)C
101628-29-9	CC(=O)OCC1=C2C(CC(C3(CCC(O3)(C=C2OC1=O)C)O)(C)O)OC(=O)C
10163-83-4	CC(C)CC(=O)OC1C(C2C(CC=C3C2(CCC(C3)O)C)C4(C1(C(CC4)C(=O)C)C)O)OC(=O)C
101691-27-4	COC1=CC(=CC2=C1C(=O)C(=CO2)C3=C(C=C(C=C3)O)O)O
1016974-78-9	CC(=O)OCC1C(OCC1(CC2=CC(=C(C=C2)O)OC)O)C3=CC(=C(C=C3)O)OC
1016983-51-9	C=C1CCC2C(C(=O)OC2C3C1CCC3=C)CS(=O)(=O)O
1016987-87-3	C1=COC(C2C1C(C=C2CO)OC(=O)C3=CC=C(C=C3)O)OC4C(C(C(C(O4)CO)O)O)O
1017233-48-5	CC1CC(C2(C(C1(C)CCC3=CC(=O)OC3O)CCC=C2CO)C)O
1017277-40-5	CC(=CCC1=C(C=C(C=C1O)C2=CC3=C(O2)C=C(C=C3)OC)O)C
10176-66-6	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)O)OC)O
10176-71-3	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)O)O
101762-87-2	CCCCCCCCC=CCCCCCCCC(=O)NCC1=CC=CC=C1
10180-88-8	CC1C2C(CC(=C3C(C2OC1=O)C(=CC3=O)C)C)O
101827-46-7	CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32.Cl
101831-37-2	C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl
10191-41-0	CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
101959-37-9	CCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=CC1=CC(=C(C=C1)O)OC
102-32-9	C1=CC(=C(C=C1CC(=O)O)O)O
102-37-4	CCOC(=O)C=CC1=CC(=C(C=C1)O)O
102-65-8	C1=CC(=CC=C1N)S(=O)(=O)NC2=CN=CC(=N2)Cl
1020074-97-8	CC1(CCC(OC1OC)(C)C2CCC3(C2CCC4C3(CCC5C4(CCC(=O)C5(C)C)C)C)C)C
102036-28-2	C1C(=O)COC2=C(C=CC(=C2)O)C3=CC(=C(C=C31)O)O
102036-29-3	C1C2=CC(=C(C=C2C3=C(C=C(C=C3)O)OCC1(CO)O)O)O
102054-39-7	CC#CC1=CC=C(S1)C2=CC=C(S2)C(CO)O
10210-17-0	C1=CC(=CC=C1CCCO)O
102115-79-7	CC1C(C(C(C(O1)OC2C(OC(C(C2O)OC3C(C(C(C(O3)C)O)O)O)OC4CCC5(C6CCC7(C(C6CC=C5C4)CC8C7C(=C(O8)CCC(C)COC9C(C(C(C(O9)CO)O)O)O)C)C)C)CO)O)O)O
10212-25-6	C1=CN2C3C(C(C(O3)CO)O)OC2=NC1=N.Cl
102130-43-8	CC(C)CC(=O)OC1C(C(C(OC1OC2CC(C3CCC45CC(CCC4C3(C2)C)C(=C)C5O)C(=O)O)CO)OS(=O)(=O)[O-])OS(=O)(=O)[O-].[K+].[K+]
1021945-29-8	CC1CC2C(C(CC3(CCC1(O3)OC)C)OC(=O)C(C)C)C(=C)C(=O)O2
102227-61-2	CC1(C2CCC3(C(O3)CCC(=C)C2OC1=O)C)C
10236-47-2	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
1023744-69-5	CC=C(C)C(=O)OC1=C2C(=CC(=C1OC)OC)CC(C(CC3=CC(=C(C(=C32)OC)OC)OC)C)C
1025023-04-4	CN1CCC23C14CC(C5=CC6=C(C=C52)OCO6)OC4(C(C(=O)C3)OC)OC
1025023-05-5	CN1CCC23C14CC(C5=CC6=C(C=C52)OCO6)OC4(C(C(=O)C3)OC)OC
102518-79-6	CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3
102519-34-6	CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1)C)C(=O)O)C
10267-31-9	CC(=CCO)CCC1C2(CCCC(C2CCC1(C)O)(C)C)C
102814-08-4	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
10284-63-6	COC1C(C(C(C(C1O)O)O)O)O
102841-42-9	C1=CC(=C(C=C1OC2C(C(C(C(O2)CO)O)O)O)O)C=CC3=CC(=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O
102841-43-0	CC1(C(CC2=C(O1)C=C3C(=C2)C=C(O3)C4=CC(=CC(=C4)OC5C(C(C(CO5)O)O)O)O)O)C
1029017-75-1	CC1CCC2(C(C3(C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(CO8)O)O)O)O)OC9C(C(C(C(O9)C)O)O)O)C)C)O)C)OC1
